payment_id,customer_id,amount,status,reason,days_since_failure,customer_type
pay_001,cus_101,4999,failed,insufficient_funds,1,regular
pay_002,cus_102,12999,failed,bank_declined,2,premium
pay_003,cus_103,2499,success,,0,regular
pay_004,cus_104,7999,failed,timeout,1,regular
pay_005,cus_105,15999,failed,insufficient_funds,3,premium
pay_006,cus_106,2999,abandoned,checkout_timeout,1,regular
pay_007,cus_107,18999,failed,bank_declined,4,premium
pay_008,cus_108,5999,success,,0,regular
pay_009,cus_109,9999,failed,insufficient_funds,2,regular
pay_010,cus_110,3499,abandoned,checkout_timeout,1,regular
pay_011,cus_111,22999,failed,bank_declined,2,premium
pay_012,cus_112,4499,failed,timeout,3,regular
pay_013,cus_113,6999,success,,0,regular
pay_014,cus_114,11999,failed,insufficient_funds,1,premium
pay_015,cus_115,24999,failed,bank_declined,5,premium
pay_016,cus_116,3999,abandoned,checkout_timeout,2,regular
pay_017,cus_117,8999,failed,timeout,1,regular
pay_018,cus_118,5499,success,,0,regular
pay_019,cus_119,14999,failed,insufficient_funds,2,premium
pay_020,cus_120,7999,abandoned,checkout_timeout,1,regular
